Timestamp,Your name,Your gender ,Your age,How important is exercise to you ?,How do you describe your current level of fitness ?,How often do you exercise?,"What barriers, if any, prevent you from exercising more regularly? (Please select all that apply)",What form(s) of exercise do you currently participate in ? (Please select all that apply),Do you exercise ___________ ?,What time if the day do you prefer to exercise?,How long do you spend exercising per day ?,Would you say you eat a healthy balanced diet ?,"What prevents you from eating a healthy balanced diet, If any? (Please select all that apply)",How healthy do you consider yourself?,Have you ever recommended your friends to follow a fitness routine?,Have you ever purchased a fitness equipment?,What motivates you to exercise? (Please select all that applies ),daily_steps
2019/07/07 7:50:35 AM GMT+5:30,Anusha 0,Male,26 to 35,5,Good,1 to 2 times a week,I'm not interested;I'll become too tired,Gym,Alone,Evening,1 hour,Not always,Ease of access to fast food,4,Yes,No,I want to lose weight,12475
2019/07/07 1:50:5 AM GMT+5:30,Lakshmi 1,Male,26 to 35,1,Good,Never,I'm not interested,Gym;Cycling,Alone,Morning,Less than 30 minutes,Yes,Temptation and cravings,1,Yes,Yes,I want to be flexible,3651
2019/07/03 10:8:37 AM GMT+5:30,Rahul 2,Female,36 to 45,4,Excellent,1 to 2 times a week,I don't have enough time;I can't stay motivated,Walking or jogging;Cycling,Alone,Evening,More than 1 hour,Not always,Lack of time,4,Yes,Yes,I'm not really interested in exercising;I want to lose weight,11122
2019/07/08 11:27:9 AM GMT+5:30,Kiran 3,Male,15 to 18,3,Fair,Never,I can't stay motivated,Gym,I don't really exercise,Early morning,1 hour,Not always,Cost,4,No,Yes,I want to be fit;I want to lose weight,11364
2019/07/06 11:29:36 PM GMT+5:30,Manish 4,Female,19 to 25,2,Excellent,Never,I don't have enough time,Lifting weights,With a group,Evening,Less than 30 minutes,Not always,Ease of access to fast food,3,No,No,I want to be fit;I want to be flexible,10066
2019/07/08 9:41:20 AM GMT+5:30,Karunya v 5,Female,15 to 18,5,Unfit,Never,I can't stay motivated,Gym,I don't really exercise,Early morning,Less than 30 minutes,Not always,Ease of access to fast food,4,Yes,No,I want to be flexible;I'm not really interested in exercising,11511
2019/07/06 8:26:47 AM GMT+5:30,Nikkitha 6,Male,15 to 18,3,Excellent,Never,I'll become too tired,Walking or jogging;I don't really exercise,I don't really exercise,Evening,1 hour,No,Lack of time,2,Yes,Yes,I want to lose weight;I want to be fit,4569
2019/07/06 6:31:53 PM GMT+5:30,Manish 7,Female,15 to 18,2,Fair,Everyday,I can't stay motivated;I'll become too tired,Cycling,Alone,Evening,More than 1 hour,No,Ease of access to fast food,5,No,Yes,I want to be flexible;I'm not really interested in exercising,12053
2019/07/04 1:45:31 AM GMT+5:30,Lakshmi 8,Female,15 to 18,4,Excellent,1 to 2 times a week,I'm not interested,Gym,I don't really exercise,Morning,I don't really exercise,No,Lack of time,3,No,Yes,I'm not really interested in exercising;I want to be flexible,8598
2019/07/04 9:36:59 PM GMT+5:30,Nikkitha 9,Female,26 to 35,3,Excellent,Everyday,I'm not interested;I don't have enough time,Swimming;I don't really exercise,With a group,Morning,I don't really exercise,Not always,Lack of time,3,No,No,I want to be fit,7780
2019/07/05 11:1:17 AM GMT+5:30,Rahul 10,Male,15 to 18,4,Unfit,1 to 2 times a week,I'm not interested,Lifting weights,Alone,Evening,More than 1 hour,Not always,Lack of time,3,No,Yes,I want to lose weight,7561
2019/07/05 7:56:48 AM GMT+5:30,Karunya v 11,Male,15 to 18,1,Unfit,Everyday,I'm not interested;I can't stay motivated,Cycling,With a friend,Afternoon,30 minutes,No,Temptation and cravings,4,No,Yes,I'm not really interested in exercising,1701
2019/07/08 11:34:23 AM GMT+5:30,Divya 12,Male,15 to 18,3,Fair,3 to 4 times a week,I don't have enough time,Gym;Walking or jogging,Alone,Morning,1 hour,Not always,Lack of time,5,No,No,I want to lose weight;I want to be flexible,11128
2019/07/08 9:10:6 PM GMT+5:30,Anusha 13,Female,36 to 45,3,Unfit,3 to 4 times a week,I'll become too tired,Walking or jogging,I don't really exercise,Evening,30 minutes,No,Ease of access to fast food,5,No,Yes,I want to be flexible;I want to be fit,6552
2019/07/03 2:57:34 PM GMT+5:30,Arjun 14,Male,15 to 18,2,Very good,3 to 4 times a week,I can't stay motivated;I'm not interested,Swimming;Cycling,With a friend,Morning,1 hour,Yes,Temptation and cravings,3,Yes,No,I want to be fit;I want to lose weight,8017
2019/07/08 2:50:18 PM GMT+5:30,Deepak 15,Male,26 to 35,3,Unfit,Everyday,I can't stay motivated,Lifting weights,With a group,Afternoon,More than 1 hour,Not always,Ease of access to fast food,4,No,Yes,I want to be flexible,9762
2019/07/05 4:46:15 AM GMT+5:30,Meena 16,Female,26 to 35,2,Unfit,Everyday,I'm not interested;I don't have enough time,Cycling,Alone,Evening,Less than 30 minutes,No,Lack of time,2,No,No,I'm not really interested in exercising;I want to be flexible,7763
2019/07/06 7:19:26 AM GMT+5:30,Priya 17,Male,26 to 35,1,Excellent,3 to 4 times a week,I'm not interested,Gym;I don't really exercise,I don't really exercise,Morning,1 hour,Not always,Ease of access to fast food,5,No,No,I want to lose weight,8003
